,Rank,Step,Value,Metric,Type,Agent
579,0,2200,0.91064453125,Accuracy,Reconstruction,A
583,0,2250,0.9111328125,Accuracy,Reconstruction,A
587,0,2300,0.906494140625,Accuracy,Reconstruction,A
591,0,2350,0.9130859375,Accuracy,Reconstruction,A
595,0,2400,0.909423828125,Accuracy,Reconstruction,A
599,0,2450,0.910400390625,Accuracy,Reconstruction,A
603,0,2500,0.916748046875,Accuracy,Reconstruction,A
607,0,2550,0.911865234375,Accuracy,Reconstruction,A
611,0,2600,0.91357421875,Accuracy,Reconstruction,A
615,0,2650,0.91015625,Accuracy,Reconstruction,A
619,0,2700,0.9189453125,Accuracy,Reconstruction,A
623,0,2750,0.92041015625,Accuracy,Reconstruction,A
627,0,2800,0.91357421875,Accuracy,Reconstruction,A
631,0,2850,0.91845703125,Accuracy,Reconstruction,A
635,0,2900,0.92041015625,Accuracy,Reconstruction,A
639,0,2950,0.91259765625,Accuracy,Reconstruction,A
643,0,3000,0.91552734375,Accuracy,Reconstruction,A
647,0,3050,0.918212890625,Accuracy,Reconstruction,A
651,0,3100,0.909423828125,Accuracy,Reconstruction,A
655,0,3150,0.916259765625,Accuracy,Reconstruction,A
659,0,3200,0.92529296875,Accuracy,Reconstruction,A
663,0,3250,0.92041015625,Accuracy,Reconstruction,A
667,0,3300,0.920654296875,Accuracy,Reconstruction,A
671,0,3350,0.91455078125,Accuracy,Reconstruction,A
675,0,3400,0.919677734375,Accuracy,Reconstruction,A
679,0,3450,0.912841796875,Accuracy,Reconstruction,A
683,0,3500,0.912841796875,Accuracy,Reconstruction,A
687,0,3550,0.9228515625,Accuracy,Reconstruction,A
691,0,3600,0.9130859375,Accuracy,Reconstruction,A
695,0,3650,0.918212890625,Accuracy,Reconstruction,A
699,0,3700,0.9111328125,Accuracy,Reconstruction,A
703,0,3750,0.9111328125,Accuracy,Reconstruction,A
707,0,3800,0.918701171875,Accuracy,Reconstruction,A
711,0,3850,0.914794921875,Accuracy,Reconstruction,A
715,0,3900,0.923095703125,Accuracy,Reconstruction,A
719,0,3950,0.9140625,Accuracy,Reconstruction,A
723,0,4000,0.915283203125,Accuracy,Reconstruction,A
727,0,4050,0.916259765625,Accuracy,Reconstruction,A
731,0,4100,0.91552734375,Accuracy,Reconstruction,A
735,0,4150,0.9208984375,Accuracy,Reconstruction,A
739,0,4200,0.91943359375,Accuracy,Reconstruction,A
743,0,4250,0.916748046875,Accuracy,Reconstruction,A
747,0,4300,0.920654296875,Accuracy,Reconstruction,A
751,0,4350,0.92333984375,Accuracy,Reconstruction,A
755,0,4400,0.92333984375,Accuracy,Reconstruction,A
759,0,4450,0.923583984375,Accuracy,Reconstruction,A
763,0,4500,0.91943359375,Accuracy,Reconstruction,A
767,0,4550,0.9228515625,Accuracy,Reconstruction,A
771,0,4600,0.917724609375,Accuracy,Reconstruction,A
775,0,4650,0.924560546875,Accuracy,Reconstruction,A
779,0,4700,0.921875,Accuracy,Reconstruction,A
783,0,4750,0.915283203125,Accuracy,Reconstruction,A
787,0,4800,0.91796875,Accuracy,Reconstruction,A
791,0,4850,0.91748046875,Accuracy,Reconstruction,A
795,0,4900,0.92138671875,Accuracy,Reconstruction,A
799,0,4950,0.9189453125,Accuracy,Reconstruction,A
803,0,0,0.119384765625,Accuracy,Reconstruction,B
807,0,50,0.70068359375,Accuracy,Reconstruction,B
811,0,100,0.843994140625,Accuracy,Reconstruction,B
815,0,150,0.890380859375,Accuracy,Reconstruction,B
819,0,200,0.888671875,Accuracy,Reconstruction,B
823,0,250,0.881103515625,Accuracy,Reconstruction,B
827,0,300,0.888427734375,Accuracy,Reconstruction,B
831,0,350,0.89111328125,Accuracy,Reconstruction,B
835,0,400,0.890625,Accuracy,Reconstruction,B
839,0,450,0.886962890625,Accuracy,Reconstruction,B
843,0,500,0.897216796875,Accuracy,Reconstruction,B
847,0,550,0.89599609375,Accuracy,Reconstruction,B
851,0,600,0.889404296875,Accuracy,Reconstruction,B
855,0,650,0.91015625,Accuracy,Reconstruction,B
859,0,700,0.898681640625,Accuracy,Reconstruction,B
863,0,750,0.908935546875,Accuracy,Reconstruction,B
867,0,800,0.904296875,Accuracy,Reconstruction,B
871,0,850,0.908203125,Accuracy,Reconstruction,B
875,0,900,0.90869140625,Accuracy,Reconstruction,B
879,0,950,0.902099609375,Accuracy,Reconstruction,B
883,0,1000,0.90283203125,Accuracy,Reconstruction,B
887,0,1050,0.904296875,Accuracy,Reconstruction,B
891,0,1100,0.902099609375,Accuracy,Reconstruction,B
895,0,1150,0.9072265625,Accuracy,Reconstruction,B
899,0,1200,0.903076171875,Accuracy,Reconstruction,B
903,0,1250,0.9150390625,Accuracy,Reconstruction,B
907,0,1300,0.90283203125,Accuracy,Reconstruction,B
911,0,1350,0.9130859375,Accuracy,Reconstruction,B
915,0,1400,0.914306640625,Accuracy,Reconstruction,B
919,0,1450,0.909423828125,Accuracy,Reconstruction,B
923,0,1500,0.91357421875,Accuracy,Reconstruction,B
927,0,1550,0.90576171875,Accuracy,Reconstruction,B
931,0,1600,0.908935546875,Accuracy,Reconstruction,B
935,0,1650,0.915283203125,Accuracy,Reconstruction,B
939,0,1700,0.91259765625,Accuracy,Reconstruction,B
943,0,1750,0.908935546875,Accuracy,Reconstruction,B
