\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
\midrule
43  &  0.318 &   0.551 &   0.525 &   0.757 &  0.789 &  0.162012 \\
39  &    0.3 &   0.971 &   0.214 &   0.553 &  0.535 &  0.151628 \\
52  &  0.439 &    0.65 &    0.72 &   0.655 &  0.687 &  0.144957 \\
23  &  0.188 &   0.416 &   0.696 &   0.556 &  0.862 &  0.144552 \\
27  &  0.225 &   0.704 &   0.035 &   0.158 &  0.536 &  0.142225 \\
17  &  0.164 &   0.778 &   0.164 &   0.708 &   0.72 &  0.126358 \\
69  &   0.62 &   0.455 &   0.872 &   0.123 &  0.933 &  0.120009 \\
34  &  0.277 &    0.83 &   0.819 &   0.469 &  0.458 &  0.119019 \\
2   &      0 &       0 &       1 &       0 &      0 &  0.113489 \\
41  &   0.31 &   0.865 &   0.575 &   0.093 &  0.996 &  0.113239 \\
3   &      0 &       1 &       0 &       0 &      0 &  0.113239 \\
6   &  0.044 &   0.559 &   0.205 &   0.427 &  0.893 &  0.113239 \\
7   &  0.044 &   0.873 &   0.637 &   0.269 &  0.714 &  0.113239 \\
25  &  0.201 &   0.961 &   0.296 &   0.728 &  0.584 &  0.113239 \\
75  &  0.707 &   0.899 &   0.095 &     0.3 &  0.958 &  0.113239 \\
26  &  0.221 &   0.898 &   0.726 &   0.621 &  0.966 &  0.113239 \\
36  &  0.286 &   0.935 &   0.373 &   0.667 &  0.829 &  0.113239 \\
91  &  0.873 &    0.89 &   0.835 &   0.515 &  0.939 &  0.113239 \\
30  &  0.247 &   0.727 &   0.769 &   0.079 &   0.42 &  0.113239 \\
28  &  0.237 &   0.529 &   0.404 &   0.009 &  0.564 &  0.113239 \\
11  &  0.099 &   0.906 &   0.912 &   0.545 &  0.908 &  0.113239 \\
\bottomrule
\end{tabular}
